N,P,K,temperature,humidity,ph,rainfall,label
46.3,57.43,54.47,26.34,97.4,7.29,120.87,papaya
100.1,39.89,25.35,22.84,61.54,6.93,180.77,coffee
83.03,67.2,34.19,21.46,61.63,6.96,89.6,maize
116.41,28.41,26.76,25.87,75.19,6.58,92.98,cotton
101.43,27.07,37.28,25.93,64.45,6.96,167.28,coffee
45.54,73.76,55.53,27.99,93.87,6.99,150.38,papaya
73.61,56.41,51.04,23.88,81.01,6.41,254.2,rice
9.32,71.06,24.0,20.76,74.18,7.39,39.9,lentil
10.35,17.7,33.86,31.05,50.07,6.94,68.97,mango
19.59,133.7,207.09,2.96,91.09,6.39,107.08,apple
80.77,74.03,34.54,17.44,64.79,6.27,68.87,maize
29.3,57.49,18.15,33.16,54.89,5.93,124.27,pigeonpeas
58.25,67.74,43.85,28.66,97.76,6.01,132.57,papaya
1.71,15.0,40.86,19.49,89.47,6.53,121.47,pomegranate
24.91,59.69,15.19,15.0,18.58,5.87,103.77,kidneybeans
108.0,35.95,25.18,22.76,70.89,6.78,145.51,coffee
64.58,54.58,58.94,21.44,86.91,6.81,166.19,rice
18.73,62.17,15.83,30.44,43.33,5.57,110.5,pigeonpeas
78.35,37.95,37.4,23.84,90.3,6.17,243.44,rice
63.7,71.74,23.81,19.65,71.27,5.89,69.94,maize
99.54,71.72,30.02,26.6,72.13,6.21,57.48,maize
108.73,16.1,47.63,30.1,83.93,5.78,66.3,watermelon
0.63,70.03,18.8,23.82,65.28,6.25,42.99,lentil
4.05,15.29,43.12,21.21,95.1,6.12,127.8,pomegranate
115.17,24.08,23.14,23.52,85.07,6.42,77.92,cotton
7.59,41.32,21.68,32.91,41.91,7.84,36.99,mothbeans
9.63,59.81,17.77,27.82,44.66,5.69,152.07,pigeonpeas
12.18,11.98,7.15,15.89,87.3,6.4,127.67,orange
110.44,26.69,28.07,22.85,80.38,6.75,72.78,cotton
19.86,24.63,32.33,21.72,93.12,5.91,131.35,pomegranate
1.29,52.9,17.85,28.62,56.73,6.07,23.92,mothbeans
113.63,22.46,29.78,26.83,78.63,6.39,77.96,cotton
29.47,53.57,18.24,34.37,56.48,7.6,33.39,mothbeans
60.24,76.1,31.33,21.92,56.71,7.01,72.14,maize
32.94,56.04,15.02,27.87,61.08,6.91,45.94,blackgram
91.95,11.81,45.32,25.11,92.2,6.76,30.51,muskmelon
108.94,32.04,36.36,29.04,71.58,6.51,184.81,coffee
101.72,15.55,51.7,29.07,85.42,6.51,63.63,watermelon
26.34,78.9,16.35,19.74,24.49,6.64,146.7,kidneybeans
94.93,60.0,31.65,17.9,71.09,6.09,58.85,maize
29.93,77.59,18.44,18.54,18.18,5.86,106.24,kidneybeans
3.55,122.67,209.51,11.81,81.85,6.56,65.91,grapes
111.51,29.52,38.03,27.67,70.37,6.02,235.96,coffee
112.19,29.47,19.36,22.94,77.58,6.83,59.73,cotton
93.08,18.01,48.2,26.13,89.97,6.3,60.92,watermelon
89.46,56.68,44.04,27.94,76.02,6.13,146.82,jute
14.15,27.59,26.98,29.83,52.16,6.55,76.32,mango
12.3,135.81,206.66,15.77,85.41,5.95,50.5,grapes
0.59,56.2,15.1,15.51,65.08,6.33,54.28,lentil
79.94,51.5,45.27,23.05,80.02,6.16,233.78,rice
103.29,37.21,33.67,27.75,62.95,6.07,163.15,coffee
102.57,35.99,34.79,29.82,57.88,6.36,233.7,coffee
39.28,34.93,15.61,31.98,86.84,5.98,43.99,mungbean
10.39,23.63,30.09,31.73,54.68,6.99,92.12,mango
93.59,17.93,46.98,26.58,88.6,5.52,46.24,watermelon
15.64,17.97,33.23,29.97,58.58,6.26,83.95,mango
94.56,9.52,47.81,28.5,89.29,7.37,22.93,muskmelon
17.62,41.72,17.08,31.33,39.15,7.92,40.13,mothbeans
32.19,66.05,18.66,17.59,23.72,6.71,105.09,kidneybeans
22.75,46.52,19.57,33.4,59.25,6.61,42.11,blackgram
31.35,67.06,18.7,20.53,21.27,6.54,123.18,kidneybeans
24.46,49.74,15.86,33.41,78.68,6.39,72.94,blackgram
97.01,77.87,48.34,30.89,81.8,6.88,100.61,banana
95.12,58.41,32.57,24.63,88.37,5.57,190.74,rice
1.54,15.0,40.87,21.39,93.22,5.78,127.42,pomegranate
110.63,25.67,32.9,30.01,62.11,6.3,163.36,coffee
46.14,63.39,54.78,29.01,92.92,7.12,163.48,papaya
6.15,137.12,196.39,11.28,97.22,6.09,95.94,apple
19.7,75.89,24.5,31.28,65.21,5.14,147.68,pigeonpeas
0.55,56.55,27.93,28.27,74.63,6.69,44.68,blackgram
11.8,41.44,15.96,32.63,84.54,5.88,62.33,mungbean
24.73,59.77,22.13,30.02,81.86,7.31,32.55,blackgram
16.37,59.7,16.05,16.26,71.51,7.1,43.94,lentil
107.17,14.52,45.74,28.08,83.55,5.71,43.26,watermelon
84.18,56.14,38.3,22.54,64.71,6.21,80.84,maize
40.85,57.68,50.16,26.52,97.23,6.67,147.93,papaya
7.75,56.07,21.59,28.0,47.66,6.07,46.43,mothbeans
16.16,130.83,197.01,10.16,95.55,6.19,119.2,apple
62.66,44.36,37.02,27.7,84.39,7.16,177.81,jute
20.72,55.68,15.78,32.76,41.86,7.55,33.42,mothbeans
19.07,133.01,206.67,5.24,95.1,5.92,121.89,apple
3.38,132.8,210.42,6.48,93.56,6.51,111.88,apple
27.8,79.64,81.52,16.38,19.62,6.1,79.21,chickpea
95.36,79.09,49.72,33.48,80.54,5.8,175.16,banana
1.46,28.96,48.09,22.94,94.54,6.81,100.05,pomegranate
81.04,47.16,44.09,31.18,70.94,7.11,162.57,jute
13.69,43.41,20.91,33.91,56.71,6.48,49.38,mothbeans
97.72,17.03,45.48,28.45,90.35,6.31,21.47,muskmelon
8.67,135.46,205.06,2.47,91.57,6.32,124.94,apple
1.81,8.8,26.15,32.81,93.35,6.04,147.78,coconut
36.6,63.7,24.63,17.35,24.1,6.36,110.42,kidneybeans
57.89,67.22,54.48,28.47,96.58,6.24,162.14,papaya
15.09,69.06,20.68,26.49,74.29,6.51,48.58,blackgram
29.24,78.34,83.28,19.49,16.88,6.88,96.97,chickpea
3.27,47.15,15.25,33.21,71.34,6.42,52.49,mungbean
99.81,18.05,46.4,28.63,83.07,6.04,50.34,watermelon
78.17,41.06,44.63,32.77,86.47,6.99,162.69,jute
100.22,23.0,18.87,26.05,76.22,6.66,106.49,cotton
95.91,17.27,49.65,23.3,82.39,5.57,60.28,watermelon
27.11,70.76,78.19,15.46,12.42,7.74,54.92,chickpea
108.1,27.66,25.95,25.05,77.54,6.94,67.97,cotton
95.0,78.88,54.88,31.76,81.73,5.67,115.55,banana
116.04,89.44,57.87,30.92,76.79,5.8,190.82,banana
58.27,56.37,55.89,29.69,96.98,6.64,135.72,papaya
21.0,77.62,20.75,31.02,52.65,6.72,145.41,pigeonpeas
4.82,131.92,197.94,5.67,96.97,6.65,104.53,apple
3.59,6.17,41.39,30.01,92.26,5.4,195.61,coconut
92.43,38.0,53.62,21.86,80.8,6.64,270.36,rice
95.3,82.03,51.81,33.94,76.39,6.55,196.12,banana
91.95,72.5,54.86,31.55,89.85,5.97,152.87,banana
18.49,62.81,23.17,31.66,68.13,6.46,181.85,pigeonpeas
113.67,29.85,19.76,23.09,74.4,6.35,79.65,cotton
93.17,10.91,49.2,27.43,88.47,5.76,55.13,watermelon
68.61,60.59,21.01,22.82,63.43,6.63,89.77,maize
18.87,139.05,206.77,6.7,95.6,6.3,109.27,apple
100.81,9.01,53.41,24.59,82.95,6.92,38.75,watermelon
94.33,14.74,53.09,25.39,87.86,6.68,72.27,watermelon
12.45,15.82,5.96,17.87,95.04,6.64,142.03,orange
8.76,17.14,36.94,26.66,47.14,5.87,103.33,mango
19.56,58.13,17.12,21.29,70.54,6.94,38.99,lentil
99.97,55.08,59.07,26.76,84.37,5.79,207.86,rice
108.0,24.18,26.52,25.74,81.4,6.16,68.06,cotton
